time_s,x_m,y_m,speed_ms,heading_rad
460.0,368102.8812785188,4341897.420515523,2.3395563336540692,0.9210561719040569
465.0,368108.42648776225,4341908.438617225,2.341844597852624,0.6530077610409222
470.0,368116.1644915638,4341918.027947719,2.345711685566424,0.522665226711784
475.0,368124.5614561303,4341927.024323864,2.3496991313548805,0.5300285689166423
480.0,368132.3291338128,4341936.52546186,2.3534233617914295,0.6750977876554972
485.0,368138.02285739157,4341947.322678504,2.3552732574641353,0.9578728829283486
490.0,368139.8643280448,4341959.270811215,2.3507092223696264,1.3782406902392446
495.0,368136.23465355556,4341970.611216056,2.3346013408210746,1.924437744096696
500.0,368127.17320267257,4341978.003425392,2.3109437456976756,2.5605267991110887
505.0,368115.6418108321,4341978.305116344,2.2937809466476318,3.2436516437660616
510.0,368106.6432255947,4341971.228703178,2.2731589460632997,3.9297150077796683
515.0,368104.1282008142,4341960.097888619,2.256344146324965,4.568964530720684
520.0,368108.56275522476,4341949.517722529,2.2520505323995197,5.119413829447163
525.0,368117.64279468596,4341942.32642248,2.2545263995097033,5.544706738675992
530.0,368128.76269084786,4341938.788772653,2.2567315958330116,5.832459323438496
535.0,368140.42852430907,4341937.754263009,2.2567598685804775,5.982506031667003
540.0,368152.14920239564,4341937.6602324145,2.2557067195561524,5.994846863361512
545.0,368163.8350145766,4341936.895103895,2.255393272872487,5.869481818522026
550.0,368175.1382051178,4341933.896076292,2.257155211792293,5.606410897148543
555.0,368184.8655486273,4341927.423657737,2.259877518912032,5.206537664282504
560.0,368190.80655559205,4341917.361422404,2.2575978837347868,4.687480844063827
565.0,368190.6710129287,4341905.6875508595,2.243713883877501,4.084881034715888
570.0,368183.90376993996,4341896.2448351495,2.223019088180802,3.4394979571582733
575.0,368172.89788542426,4341892.764132417,2.2073087753576526,2.7931221223453213
580.0,368162.01993387396,4341896.381425394,2.184856716083218,2.1933488589040255
585.0,368154.9162598249,4341905.212807292,2.16414778202696,1.6791720403761847
590.0,368152.7035536421,4341916.209437248,2.153233212221911,1.2854811561733839
595.0,368154.38775335904,4341927.224365082,2.150508859836626,1.0286856360859173
