t,psi_deg,r_meas_deg_s,rud_deg
42.5,147.5818054172381,6.785370364010954,10.0
43.0,151.0139404269413,6.864270019406431,10.0
43.5,154.48552526434227,6.943169674801907,10.0
44.0,157.99655992944096,7.022069330197383,10.0
44.5,161.54704442223738,7.10096898559286,10.0
45.0,165.13697874273154,7.179868640988336,10.0
45.5,168.76636289092343,7.2587682963838125,10.0
46.0,172.43519686681307,7.337667951779289,10.0
46.5,176.14348067040046,7.416567607174765,10.0
47.0,179.89121430168558,7.495467262570242,10.0
47.5,183.67839776066845,7.574366917965718,10.0
48.0,187.50503104734906,7.653266573361194,10.0
48.5,191.3711141617274,7.732166228756671,10.0
49.0,195.27664710380347,7.811065884152147,10.0
49.5,199.22162987357729,7.889965539547624,10.0
50.0,203.20606247104882,7.9688651949431,10.0
50.5,207.22994489621811,8.047764850338577,10.0
51.0,211.29327714908513,8.126664505734054,10.0
51.5,215.3960592296499,8.20556416112953,10.0
52.0,219.53829113791238,8.284463816525006,10.0
52.5,223.71997287387262,8.363363471920483,10.0
53.0,227.9411044375306,8.44226312731596,10.0
53.5,232.20168582888633,8.521162782711436,10.0
54.0,236.50171704793976,8.600062438106912,10.0
54.5,240.84119809469095,8.678962093502388,10.0
55.0,245.2201289691399,8.757861748897865,10.0
55.5,249.63850967128658,8.836761404293341,10.0
56.0,254.096340201131,8.915661059688818,10.0
56.5,258.59362055867314,8.994560715084294,10.0
57.0,263.130350743913,9.07346037047977,10.0
57.5,267.70653075685067,9.152360025875247,10.0
58.0,272.322160597486,9.231259681270723,10.0
58.5,276.9772402658191,9.3101593366662,10.0
59.0,281.67176976184993,9.389058992061676,10.0
59.5,286.4057490855785,9.467958647457152,10.0
