t,psi_deg,cmd_rudder_deg,applied_rudder_deg
20.900000000000002,10.432867509904492,0.22218929991258582,0.22218929991258582
21.0,10.513442011205608,0.17966805777374883,0.17966805777374883
21.1,10.594031616671959,0.13673937338814482,0.13673937338814482
21.200000000000003,10.674631539674573,0.09340558875756487,0.09340558875756487
21.3,10.755236949101521,0.04966909549704348,0.04966909549704348
21.400000000000002,10.835842969627345,0.0055323336690792655,0.0055323336690792655
21.5,10.916444681988013,-0.039002208948653985,-0.039002208948653985
21.6,10.99703712326076,-0.08393199731575102,-0.08393199731575102
21.700000000000003,11.077615287149364,-0.1292544494004063,-0.1292544494004063
21.8,11.1581741242746,-0.17496693633495763,-0.17496693633495763
21.900000000000002,11.2387085424697,-0.22106678249687073,-0.22106678249687073
22.0,11.319213407081078,-0.2675512655434662,-0.2675512655434662
22.1,11.399683541274221,-0.3144176164173129,-0.3144176164173129
22.200000000000003,11.480113726344761,-0.36166301933456896,-0.36166301933456896
22.3,11.560498702034526,-0.4092846117631416,-0.4092846117631416
22.400000000000002,11.640833166853069,-0.45727948439627236,-0.45727948439627236
22.5,11.721111778404067,-0.505644681124331,-0.505644681124331
22.6,11.801329153717141,-0.5543771990066981,-0.5543771990066981
22.700000000000003,11.881479869584611,-0.6034739882459259,-0.6034739882459259
22.8,11.961558462903625,-0.6529319521641294,-0.6529319521641294
22.900000000000002,12.041559431023448,-0.7027479471826962,-0.7027479471826962
23.0,12.121477232097769,-0.752918782805882,-0.752918782805882
23.1,12.201306285442369,-0.8034412216081113,-0.8034412216081113
23.200000000000003,12.28104097189791,-0.8543119792253505,-0.8543119792253505
23.3,12.360675634197863,-0.9055277243508408,-0.9055277243508408
23.400000000000002,12.440204577341774,-0.9570850787350647,-0.9570850787350647
23.5,12.5196220689735,-1.0089806171900735,-1.0089806171900735
23.6,12.598922339764755,-1.061210867598385,-1.061210867598385
23.700000000000003,12.67809958380388,-1.1137723109261262,-1.1137723109261262
23.8,12.75714795898969,-1.1666613812409379,-1.1666613812409379
23.900000000000002,12.83606158743055,-1.2198744657342817,-1.2198744657342817
24.0,12.914834555848586,-1.273407904748333,-1.273407904748333
24.1,12.993460915989187,-1.3272579918075187,-1.3272579918075187
24.200000000000003,13.07193468503549,-1.3814209736547325,-1.3814209736547325
24.3,13.15024984602822,-1.4358930502920035,-1.4358930502920035
24.400000000000002,13.228400348290458,-1.4906703750261363,-1.4906703750261363
24.5,13.3063801078579,-1.545749054518819,-1.545749054518819
24.6,13.384183007913864,-1.6011251488414668,-1.6011251488414668
24.700000000000003,13.461802899229705,-1.6567946715350015,-1.6567946715350015
24.8,13.539233600610341,-1.7127535896741903,-1.7127535896741903
24.900000000000002,13.616468899344808,-1.7689978239369357,-1.7689978239369357
25.0,13.693502551661936,-1.8255232486782311,-1.8255232486782311
25.1,13.770328283191253,-1.882325692008967,-1.882325692008967
25.200000000000003,13.846939789428848,-1.939400935879803,-1.939400935879803
25.3,13.923330736208397,-1.9967447161696068,-1.9967447161696068
25.400000000000002,13.99949476017733,-2.0543527227789933,-2.0543527227789933
25.5,14.075425469277832,-2.112220599728625,-2.112220599728625
25.6,14.151116443233215,-2.1703439452627413,-2.1703439452627413
25.700000000000003,14.226561234039101,-2.228718311957155,-2.228718311957155
25.8,14.301753366459732,-2.287339206832635,-2.287339206832635
25.900000000000002,14.376686338529229,-2.346202091473144,-2.346202091473144
26.0,14.451353622058049,-2.4053023821489803,-2.4053023821489803
26.1,14.525748663144093,-2.4646354499451912,-2.4646354499451912
26.200000000000003,14.599864882689193,-2.524196620894626,-2.524196620894626
26.3,14.673695676920234,-2.5839811761164735,-2.5839811761164735
26.400000000000002,14.74723441791532,-2.6439843519596646,-2.6439843519596646
26.5,14.820474454135002,-2.7042013401513283,-2.7042013401513283
26.6,14.893409110958265,-2.7646272879503564,-2.7646272879503564
26.700000000000003,14.96603169122335,-2.8252572983062967,-2.8252572983062967
26.8,15.038335475773794,-2.88608643002313,-2.88608643002313
26.900000000000002,15.110313724008813,-2.9471096979282687,-2.9471096979282687
27.0,15.181959674438994,-3.008322073046787,-3.008322073046787
27.1,15.253266545246541,-3.069718482780829,-3.069718482780829
27.200000000000003,15.324227534850406,-3.1312938110941126,-3.1312938110941126
27.3,15.394835822476141,-3.1930428987016635,-3.1930428987016635
27.400000000000002,15.465084568730612,-3.2549605432648545,-3.2549605432648545
27.5,15.534966916181338,-3.317041499591658,-3.317041499591658
27.6,15.604478929247643,-3.352670667091418,-3.352670667091418
27.700000000000003,15.67361681604343,-3.3869989552464412,-3.3869989552464412
27.8,15.742376805857948,-3.4211355402124703,-3.4211355402124703
27.900000000000002,15.810755149361485,-3.455078561139795,-3.455078561139795
28.0,15.87874811880966,-3.488826168120829,-3.488826168120829
28.1,15.946352008246546,-3.5223765222911485,-3.5223765222911485
28.200000000000003,16.013563133706537,-3.555727795929505,-3.555727795929505
28.3,16.080377833415024,-3.588878172557343,-3.588878172557343
28.400000000000002,16.146792467987783,-3.621825847037721,-3.621825847037721
28.5,16.21280342062912,-3.6545690256735237,-3.6545690256735237
28.6,16.278407097328653,-3.6871059263050756,-3.6871059263050756
28.700000000000003,16.343599927056992,-3.719434778407121,-3.719434778407121
28.8,16.408378361959944,-3.7515538231849903,-3.7515538231849903
28.900000000000002,16.472738877551503,-3.7834613136703865,-3.7834613136703865
29.0,16.536677972905526,-3.815155514816244,-3.815155514816244
29.1,16.600192170845943,-3.846634703591047,-3.846634703591047
29.200000000000003,16.663278018135973,-3.877897169072514,-3.877897169072514
29.3,16.725932085665516,-3.908941212540378,-3.908941212540378
29.400000000000002,16.788150968637584,-3.9397651475687763,-3.9397651475687763
29.5,16.849931286753165,-3.9703673001177515,-3.9703673001177515
29.6,16.91126968439478,-4.0007460086241045,-4.0007460086241045
29.700000000000003,16.972162830808603,-4.030899624091591,-4.030899624091591
29.8,17.032607420285252,-4.060826510180289,-4.060826510180289
29.900000000000002,17.092600172339075,-4.090525043295476,-4.090525043295476
30.0,17.152137831886115,-4.119993612675493,-4.119993612675493
